2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Total"
"354980 SAO JOSE DO RIO PRETO";15;43;-;58
"354990 SAO JOSE DOS CAMPOS";-;2;1;3
"355030 SAO PAULO";7;8;-;15
"355100 SAO VICENTE";-;1;-;1
"355255 SUZANAPOLIS";1;-;-;1
"355400 TATUI";1;-;-;1
"355560 UCHOA";-;1;-;1
"410010 ABATIA";3;-;-;3
"410140 APUCARANA";2;-;-;2
"410280 BELA VISTA DO PARAISO";-;1;-;1
"410480 CASCAVEL";3;2;-;5
"410690 CURITIBA";1;-;1;2
"410975 IBEMA";-;1;-;1
"410980 IBIPORA";-;1;-;1
"411370 LONDRINA";4;-;1;5
"411400 MAMBORE";-;1;-;1
"411520 MARINGA";1;-;-;1
"411770 PALMEIRA";-;1;-;1
"411915 PINHAIS";-;1;-;1
"412090 QUEDAS DO IGUACU";2;1;-;3
"412100 QUERENCIA DO NORTE";1;-;-;1
"420050 AGUAS DE CHAPECO";-;1;-;1
"420140 ARARANGUA";-;1;-;1
"420200 BALNEARIO CAMBORIU";1;1;-;2
"420240 BLUMENAU";-;1;-;1
"420290 BRUSQUE";1;-;-;1
"420420 CHAPECO";-;2;-;2
"420540 FLORIANOPOLIS";4;10;3;17
"420630 GUABIRUBA";1;1;-;2
"420640 GUARACIABA";-;3;-;3
"420650 GUARAMIRIM";-;1;-;1
"420810 ITAIOPOLIS";-;1;-;1
"420820 ITAJAI";1;5;-;6
"420890 JARAGUA DO SUL";1;1;-;2
"420910 JOINVILLE";-;1;-;1
"420917 JUPIA";-;1;-;1
"421010 MAFRA";4;2;-;6
"421050 MARAVILHA";1;1;-;2
"421110 MONTE CASTELO";2;1;-;3
"421175 OTACILIO COSTA";1;-;-;1
"421190 PALHOCA";-;1;-;1
"421220 PAPANDUVA";1;-;-;1
"421350 PORTO BELO";1;-;-;1
"421630 SAO JOAO BATISTA";-;1;-;1
"421660 SAO JOSE";-;1;-;1
"421730 SAUDADES";1;-;-;1
"421750 SEARA";-;1;-;1
"421870 TUBARAO";-;1;-;1
"430040 ALEGRETE";1;-;-;1
"430430 CANDIDO GODOI";-;1;1;2
"430470 CARAZINHO";1;-;-;1
"430530 CHAPADA";1;-;-;1
