2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/varicelabr.def
Chickenpox
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"313665 JUATUBA";-;-;3;1;-;-;1;5
"313670 JUIZ DE FORA";2;1;-;-;-;3;-;6
"313690 JURUAIA";-;-;2;-;-;-;-;2
"313720 LAGOA DA PRATA";2;-;4;1;-;2;-;9
"313750 LAGOA FORMOSA";-;-;-;-;1;-;-;1
"313760 LAGOA SANTA";-;-;-;-;-;1;-;1
"313820 LAVRAS";-;3;-;-;-;2;-;5
"313830 LEANDRO FERREIRA";-;-;-;-;1;-;-;1
"313900 MACHADO";-;-;1;-;-;-;-;1
"313940 MANHUACU";1;-;-;-;6;-;-;7
"313950 MANHUMIRIM";-;-;-;-;-;2;-;2
"313990 MARIA DA FE";-;-;2;1;1;-;-;4
"314000 MARIANA";1;2;1;1;-;1;-;6
"314010 MARILAC";-;-;-;-;-;1;-;1
"314070 MATEUS LEME";-;-;-;1;1;-;-;2
"314110 MATOZINHOS";-;-;2;-;-;-;-;2
"314130 MEDEIROS";-;-;-;-;-;1;-;1
"314180 MINAS NOVAS";-;-;-;-;-;2;-;2
"314190 MINDURI";1;-;-;-;-;-;-;1
"314310 MONTE CARMELO";-;-;-;-;-;-;1;1
"314320 MONTE SANTO DE MINAS";-;1;1;-;-;-;-;2
"314330 MONTES CLAROS";2;1;-;5;5;6;1;20
"314410 MUZAMBINHO";-;-;-;-;2;-;-;2
"314437 NATALANDIA";-;-;1;-;-;-;-;1
