Disease Name,Cases,Location Name,Country Code,Region Type,Lattitude,Longitude,Region Boundary,TimeStampStart,TimeStampEnd
Human Rabies,9,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,48,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,8,Hambantota,LKA,city,6.12845,81.12598,"{'west': 81.09705, 'south': 6.11608, 'east': 81.16193, 'north': 6.15419}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,513,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,7,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,2,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,0,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leptospirosis,4,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Typhus Fever,178,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Viral Hepatitis,13,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Human Rabies,2,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Chickenpox,0,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Meningitis,82,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Leishmaniasis,7,Matara,LKA,city,5.94464,80.55015,"{'west': 80.50298, 'south': 5.93538, 'east': 80.57139, 'north': 5.9771}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dengue Fever,,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Dysentery,1046,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Encephalitis,30,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Enteric Fever,1,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
Food Poisoning,5,Jaffna,LKA,city,9.65876,80.01907,"{'west': 79.99777, 'south': 9.646, 'east': 80.05758, 'north': 9.69279}",31-Mar-2023 00:00:00,07-Apr-2023 00:00:00
