2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"150330 IGARAPE-MIRI";1;2;-;3;2;5;10;13;17;11;12;5;81
"150340 INHANGAPI";-;-;-;-;-;-;1;2;8;2;1;-;14
"150345 IPIXUNA DO PARA";-;1;3;5;8;5;22;12;11;9;4;1;81
"150350 IRITUIA";-;-;-;-;-;-;4;2;7;5;-;-;18
"150360 ITAITUBA";7;4;11;6;17;20;17;17;3;4;1;4;111
"150380 JACUNDA";-;2;-;2;1;3;3;5;5;4;-;-;25
"150390 JURUTI";-;-;-;3;4;9;18;13;4;3;-;-;54
"150400 LIMOEIRO DO AJURU";-;-;-;-;-;1;-;3;6;1;-;-;11
"150405 MAE DO RIO";-;-;-;1;1;2;2;3;5;6;2;-;22
"150410 MAGALHAES BARATA";-;-;-;-;-;-;-;1;-;-;1;-;2
"150420 MARABA";-;-;2;1;-;3;3;8;12;8;1;-;38
"150430 MARACANA";-;-;-;-;-;2;-;1;4;-;-;-;7
"150440 MARAPANIM";-;-;-;-;-;-;-;-;4;1;-;-;5
"150442 MARITUBA";5;6;6;5;3;9;7;16;7;23;19;-;106
"150445 MEDICILANDIA";-;1;6;4;11;3;3;4;4;3;5;1;45
"150460 MOCAJUBA";-;-;-;-;-;-;-;-;1;1;-;-;2
"150470 MOJU";-;-;-;-;2;7;7;2;-;-;-;-;18
"150475 MOJUI DOS CAMPOS";-;-;-;-;1;7;11;21;11;15;16;5;87
"150480 MONTE ALEGRE";50;62;64;78;114;69;116;76;28;30;10;-;697
"150495 NOVA ESPERANCA DO PIRIA";-;-;-;-;-;-;-;2;-;-;-;-;2
"150497 NOVA IPIXUNA";-;-;1;-;-;-;3;2;9;-;-;-;15
"150500 NOVA TIMBOTEUA";-;-;-;-;-;-;-;2;-;4;6;-;12
"150503 NOVO PROGRESSO";4;11;16;7;3;1;3;4;2;2;-;-;53
"150506 NOVO REPARTIMENTO";-;-;1;2;1;1;-;1;1;-;-;-;7
"150510 OBIDOS";-;-;-;-;1;1;8;26;19;18;13;-;86
"150520 OEIRAS DO PARA";-;1;1;-;5;1;-;-;-;-;-;-;8
"150530 ORIXIMINA";-;-;-;-;1;1;3;1;4;6;10;11;37
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;1;-;-;-;-;1
"150548 PACAJA";-;1;1;-;-;2;2;16;33;31;20;4;110
"150549 PALESTINA DO PARA";-;-;-;1;-;-;-;1;-;1;-;-;3
"150550 PARAGOMINAS";-;-;1;1;1;-;3;3;2;58;61;-;130
"150553 PARAUAPEBAS";15;5;9;11;15;33;62;52;26;5;1;-;234
"150555 PAU D'ARCO";-;-;-;-;-;1;4;3;3;3;6;-;20
"150560 PEIXE-BOI";-;-;1;-;1;1;11;39;45;38;15;-;151
"150565 PLACAS";-;-;-;-;-;-;-;5;1;5;4;-;15
"150570 PONTA DE PEDRAS";-;-;1;-;1;1;2;5;7;11;3;-;31
"150580 PORTEL";-;-;-;-;-;-;-;1;2;8;3;-;14
"150590 PORTO DE MOZ";-;-;-;-;-;-;-;1;1;2;-;-;4
"150600 PRAINHA";1;-;3;5;13;9;37;56;60;64;84;41;373
"150611 QUATIPURU";-;-;-;1;-;-;-;-;-;-;-;-;1
"150613 REDENCAO";-;-;2;-;10;23;17;32;26;17;19;5;151
"150616 RIO MARIA";-;-;-;-;1;-;1;4;3;-;-;-;9
"150618 RONDON DO PARA";-;-;-;2;2;7;3;3;3;4;1;-;25
"150619 RUROPOLIS";-;-;4;4;17;25;33;60;46;48;22;-;259
"150620 SALINOPOLIS";1;-;-;-;-;1;-;1;2;1;1;-;7
"150630 SALVATERRA";-;-;-;-;1;1;-;-;-;-;-;-;2
"150650 SANTA IZABEL DO PARA";2;10;5;8;7;10;10;5;13;18;19;7;114
"150655 SANTA LUZIA DO PARA";-;-;-;1;-;2;4;4;6;2;1;-;20
"150660 SANTA MARIA DO PARA";-;-;1;1;1;1;-;3;5;4;5;3;24
"150670 SANTANA DO ARAGUAIA";1;4;6;3;3;4;9;23;25;6;3;-;87
