2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"352590 JUNDIAI";10;16;15;15;22;8;-;86
"352600 JUNQUEIROPOLIS";1;1;-;-;-;-;-;2
"352610 JUQUIA";-;-;1;-;1;-;-;2
"352620 JUQUITIBA";-;1;1;1;-;-;-;3
"352650 LAVINIA";3;2;2;-;4;8;1;20
"352670 LEME";3;8;8;10;18;13;-;60
"352680 LENCOIS PAULISTA";8;1;2;5;2;3;-;21
"352690 LIMEIRA";4;8;12;10;11;13;2;60
"352700 LINDOIA";-;-;-;-;1;-;-;1
"352710 LINS";8;9;8;11;8;-;-;44
"352720 LORENA";1;1;6;8;8;6;-;30
"352730 LOUVEIRA";1;-;4;1;-;-;-;6
"352740 LUCELIA";-;1;1;-;1;-;-;3
"352760 LUIS ANTONIO";-;-;-;-;1;1;-;2
"352780 LUPERCIO";-;-;-;-;1;-;-;1
"352790 LUTECIA";-;-;2;-;-;-;-;2
"352800 MACATUBA";2;-;1;-;-;-;-;3
"352810 MACAUBAL";2;1;-;-;-;-;-;3
"352820 MACEDONIA";1;1;-;-;-;-;-;2
"352840 MAIRINQUE";4;2;1;-;1;-;-;8
"352850 MAIRIPORA";2;1;5;-;1;1;-;10
"352860 MANDURI";1;-;1;-;-;-;-;2
"352870 MARABA PAULISTA";-;-;1;-;2;3;-;6
"352880 MARACAI";-;-;1;1;-;-;-;2
"352890 MARIAPOLIS";-;-;-;-;1;-;-;1
"352900 MARILIA";23;21;40;18;16;9;-;127
"352910 MARINOPOLIS";-;-;1;1;-;-;-;2
"352920 MARTINOPOLIS";1;-;1;10;3;-;2;17
"352930 MATAO";4;1;5;-;3;1;1;15
"352940 MAUA";39;20;54;23;43;12;4;195
"352965 MESOPOLIS";-;-;-;-;-;1;-;1
"352970 MIGUELOPOLIS";2;1;-;1;-;-;-;4
"352980 MINEIROS DO TIETE";1;-;1;2;-;-;-;4
"352990 MIRACATU";-;3;-;2;-;-;-;5
"353010 MIRANDOPOLIS";12;3;14;3;1;1;-;34
"353020 MIRANTE DO PARANAPANEMA";3;2;-;1;1;1;-;8
"353030 MIRASSOL";1;1;1;3;5;4;-;15
"353050 MOCOCA";3;1;5;3;6;4;-;22
"353060 MOGI DAS CRUZES";34;25;19;25;27;11;-;141
"353070 MOGI GUACU";14;8;6;24;9;4;-;65
"353080 MOGI MIRIM";9;3;13;10;10;11;-;56
"353110 MONGAGUA";5;6;3;4;4;1;1;24
"353120 MONTE ALEGRE DO SUL";-;1;-;-;-;-;-;1
"353130 MONTE ALTO";3;2;2;-;3;1;-;11
"353140 MONTE APRAZIVEL";2;2;2;1;1;-;-;8
"353150 MONTE AZUL PAULISTA";-;-;1;-;-;-;-;1
"353160 MONTE CASTELO";1;-;-;-;-;-;-;1
"353170 MONTEIRO LOBATO";-;-;1;-;-;-;-;1
"353180 MONTE MOR";2;7;1;1;12;4;-;27
"353190 MORRO AGUDO";2;1;1;4;-;-;-;8
