2015
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150730 SAO FELIX DO XINGU";-;37;17;24;23;25;12;17;31;14;25;23;17;265
"150740 SAO FRANCISCO DO PARA";-;-;-;2;3;3;4;4;1;2;3;1;3;26
"150745 SAO GERALDO DO ARAGUAIA";-;2;7;5;7;4;7;3;3;3;9;6;7;63
"150746 SAO JOAO DA PONTA";-;2;1;-;-;1;-;2;-;1;-;1;-;8
"150747 SAO JOAO DE PIRABAS";-;5;2;4;4;7;3;5;2;6;3;5;3;49
"150750 SAO JOAO DO ARAGUAIA";-;4;2;5;2;3;4;6;6;7;3;6;1;49
"150760 SAO MIGUEL DO GUAMA";-;7;9;10;12;7;17;9;10;7;10;11;5;114
"150770 SAO SEBASTIAO DA BOA VISTA";-;6;12;9;6;11;9;6;9;7;4;3;6;88
"150775 SAPUCAIA";-;3;5;4;4;2;4;3;3;2;1;-;4;35
"150780 SENADOR JOSE PORFIRIO";-;3;2;-;1;1;3;4;5;3;3;2;3;30
"150790 SOURE";-;8;2;1;5;-;2;1;3;-;1;-;6;29
"150795 TAILANDIA";-;30;43;32;29;39;27;24;29;36;31;24;24;368
"150796 TERRA ALTA";-;3;1;2;1;1;4;4;1;1;1;-;3;22
"150797 TERRA SANTA";-;5;2;5;8;9;9;6;6;4;3;7;3;67
"150800 TOME-ACU";-;10;17;16;9;15;20;15;20;21;13;7;14;177
"150803 TRACUATEUA";-;5;1;2;5;1;6;4;4;3;3;2;2;38
"150805 TRAIRAO";-;9;4;3;3;4;6;8;8;6;3;7;2;63
"150808 TUCUMA";-;13;7;8;6;9;11;5;4;7;9;4;6;89
"150810 TUCURUI";-;20;10;17;16;17;25;12;23;18;9;11;7;185
"150812 ULIANOPOLIS";-;3;8;4;7;8;6;6;4;4;3;2;3;58
"150815 URUARA";-;4;7;3;4;1;6;5;7;-;2;1;3;43
"150820 VIGIA";-;8;8;10;8;6;2;8;6;6;9;4;6;81
"150830 VISEU";-;2;6;4;2;3;2;4;2;4;1;5;1;36
"150835 VITORIA DO XINGU";-;3;6;7;4;9;7;1;9;9;6;5;3;69
"150840 XINGUARA";-;9;6;5;6;11;4;8;12;11;8;8;6;94
"160005 SERRA DO NAVIO";-;1;1;3;-;2;3;-;-;2;1;2;2;17
"160010 AMAPA";-;3;-;3;1;4;1;3;1;1;3;6;1;27
"160015 PEDRA BRANCA DO AMAPARI";-;1;1;2;2;1;3;5;2;-;3;2;2;24
"160020 CALCOENE";-;4;3;2;4;2;7;4;1;1;4;1;9;42
"160021 CUTIAS";-;1;-;1;1;2;2;-;-;-;1;-;1;9
"160023 FERREIRA GOMES";-;5;3;2;-;-;4;-;2;2;3;2;-;23
"160025 ITAUBAL";-;1;2;-;1;1;1;-;-;-;1;2;1;10
"160027 LARANJAL DO JARI";-;13;12;11;8;10;9;11;7;15;10;14;6;126
"160030 MACAPA";-;218;158;189;190;194;174;141;158;146;138;137;140;1983
"160040 MAZAGAO";-;6;10;5;5;5;6;6;4;11;2;2;2;64
